Country,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
Finland,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Fiji,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Croatia,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Lithuania,2,2,2,50.00%,1.5,0:00:25,0.00%,0,$0.00 
Mozambique,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Namibia,2,2,2,0.00%,2,0:03:00,0.00%,0,$0.00 
Puerto Rico,2,2,2,100.00%,1,0:00:00,0.00%,0,$0.00 
El Salvador,2,2,3,100.00%,1,0:00:00,0.00%,0,$0.00 
Azerbaijan,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Barbados,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Congo - Kinshasa,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Cameroon,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Colombia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Costa Rica,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Algeria,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Ecuador,1,1,1,0.00%,2,0:00:53,0.00%,0,$0.00 
Estonia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Guernsey,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Equatorial Guinea,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Honduras,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Iraq,1,1,4,100.00%,1,0:00:00,0.00%,0,$0.00 
Jordan,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Lebanon,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
St. Lucia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Liechtenstein,1,1,1,0.00%,2,0:00:31,0.00%,0,$0.00 
Liberia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Libya,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Moldova,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Montenegro,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Madagascar,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Malawi,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
French Polynesia,1,1,1,0.00%,2,0:00:06,0.00%,0,$0.00 
Palestine,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Serbia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Rwanda,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Solomon Islands,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Sudan,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Somalia,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Tunisia,1,1,2,100.00%,1,0:00:00,0.00%,0,$0.00 
Uruguay,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Kosovo,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Yemen,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
Zimbabwe,1,1,1,100.00%,1,0:00:00,0.00%,0,$0.00 
,"17,655","17,513","21,142",85.70%,1.3,0:00:52,0.00%,0,$0.00 
