Page,Date,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/2020/06/10/twinkle-twinkle-lyrics-mayur-kataria-ft-kaka/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/10/zindagi-da-pyaar-lyrics/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/11/aankhon-hi-aankhon-mein-lyrics/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/13/battle-is-the-lords-lyrics-rebecca-st-james/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/14/malwai-lyrics-romey-maan/,20200702,4,4,0:00:25,4,75.00%,75.00%,$0.00 
/2020/06/19/jesus-my-mama-lyrics-gabby-barrett/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/19/rehne-do-zara-lyrics-soham-naik/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/22/aaj-vabna-gulo-hothat-elomelo-lyrics-আজ-ভাবনাগুলো-হঠাৎ-এল/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/22/jatt-sauda-lyrics-sultaan/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/22/tomake-bhalobeshe-lyrics-তোমাকে-ভালোবেসে-tansener-tanpura-web-series/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/23/ik-ardaas-lyrics-santu-singh/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/25/jind-lyrics-g-sidhu/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/26/long-nights-lyrics-6lack/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/26/radha-rani-lyrics-suprabha-kv/,20200702,2,1,0:01:43,1,0.00%,50.00%,$0.00 
/2020/06/26/stick-that-in-your-country-song-lyrics-eric-church/,20200702,5,5,0:00:00,5,100.00%,100.00%,$0.00 
/2020/06/26/vail-lyrics-mankirt-aulakh-ft-shree-brar-nimrat-khaira/,20200702,2,2,0:00:00,0,0.00%,100.00%,$0.00 
/2020/06/27/rajiname-lyrics-palwinder-tohra-ft-afsana-khan/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/28/fall-with-me-lyrics-jim-yosef/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/28/spark-lyrics-fotty-seven/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/29/bhhalo-thheko-prithibi-lyrics-ভালো-থেকো-পৃথিবী-prithibi-band-2/,20200702,2,1,0:00:10,0,0.00%,0.00%,$0.00 
/2020/06/29/december-lyrics-g-shera-simrat-kaur/,20200702,3,2,0:01:44,2,50.00%,66.67%,$0.00 
/2020/06/29/noor-lyrics-lost-stories-akanksha-bhandari-zaeden/,20200702,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/2020/06/29/tumse-mila-lyrics-ayush-sharma/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/30/better-off-lyrics-wanden-slashtaq/,20200702,3,3,0:00:00,3,100.00%,100.00%,$0.00 
/2020/06/30/khairan-teriyan-lyrics/,20200702,2,2,0:00:00,2,100.00%,100.00%,$0.00 
/2020/06/30/raahi-lyrics/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/06/30/tere-naal-lyrics-shael-oswal/,20200702,4,4,0:00:00,4,100.00%,100.00%,$0.00 
/2020/06/30/thumbi-thullal-lyrics-nakul-abhyankar-shreya-ghoshal/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
/2020/07/01/life-ok-lyrics-nav-garhiwala/,20200702,1,1,0:00:00,1,100.00%,100.00%,$0.00 
